,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
6797,6797,2.0,0.4193522,"[(0, 0.21545775), (1, 0.16919662), (2, 0.4193522), (3, 0.18056028), (4, 0.01543319)]"
6798,6798,4.0,0.8215365,"[(0, 0.123351984), (1, 0.018182015), (2, 0.018292578), (3, 0.018636901), (4, 0.8215365)]"
6799,6799,3.0,0.3109422,"[(0, 0.22236893), (1, 0.24195626), (2, 0.21283814), (3, 0.3109422), (4, 0.011894485)]"
6800,6800,4.0,0.4027552,"[(0, 0.15003724), (1, 0.025164258), (2, 0.15969601), (3, 0.26234725), (4, 0.4027552)]"
6801,6801,2.0,0.27723113,"[(0, 0.2259304), (1, 0.2451278), (2, 0.27723113), (3, 0.010802515), (4, 0.24090815)]"
6802,6802,0.0,0.53240305,"[(0, 0.53240305), (1, 0.033624995), (2, 0.03392795), (3, 0.36651972), (4, 0.0335243)]"
6803,6803,0.0,0.5999984,"[(0, 0.5999984), (1, 0.10000036), (2, 0.100000314), (3, 0.10000041), (4, 0.10000055)]"
6804,6804,0.0,0.44015315,"[(0, 0.44015312), (1, 0.23934376), (2, 0.23982601), (3, 0.040000886), (4, 0.0406762)]"
6805,6805,0.0,0.5889801,"[(0, 0.5889801), (1, 0.37318188), (2, 0.012500096), (3, 0.012613212), (4, 0.012724707)]"
6806,6806,1.0,0.4789174,"[(0, 0.2848143), (1, 0.4789174), (3, 0.16602162), (4, 0.061007343)]"
6807,6807,0.0,0.7197879,"[(0, 0.7197879), (1, 0.23979715), (2, 0.01367628), (3, 0.013341316), (4, 0.013397383)]"
6808,6808,0.0,0.44954398,"[(0, 0.44954398), (1, 0.018230746), (2, 0.018260496), (3, 0.29078397), (4, 0.22318077)]"
6809,6809,0.0,0.4781948,"[(0, 0.47819477), (1, 0.02003515), (2, 0.020282855), (3, 0.46139455), (4, 0.020092687)]"
6810,6810,1.0,0.5116877,"[(0, 0.016693959), (1, 0.5116877), (2, 0.016710581), (3, 0.1852592), (4, 0.26964852)]"
6811,6811,3.0,0.6394901,"[(0, 0.04009339), (1, 0.23981795), (2, 0.04014481), (3, 0.6394901), (4, 0.040453706)]"
6812,6812,3.0,0.8802363,"[(0, 0.012532635), (1, 0.08214463), (2, 0.012571224), (3, 0.8802364), (4, 0.012515104)]"
6813,6813,1.0,0.5471759,"[(0, 0.05042596), (1, 0.5471759), (2, 0.05167478), (3, 0.30011007), (4, 0.050613273)]"
6814,6814,3.0,0.54303056,"[(0, 0.1707929), (1, 0.24145116), (2, 0.022401834), (3, 0.54303056), (4, 0.022323582)]"
6815,6815,2.0,0.8657403,"[(0, 0.033549536), (1, 0.033525985), (2, 0.8657403), (3, 0.033780817), (4, 0.033403326)]"
6816,6816,1.0,0.8390309,"[(0, 0.040531985), (1, 0.8390309), (2, 0.04008104), (3, 0.0400647), (4, 0.04029133)]"
6817,6817,1.0,0.71805125,"[(0, 0.012855447), (1, 0.71805125), (2, 0.24337424), (3, 0.012601541), (4, 0.013117493)]"
6818,6818,2.0,0.5990181,"[(0, 0.028972909), (1, 0.3138139), (2, 0.5990181), (3, 0.029288935), (4, 0.0289062)]"
6819,6819,2.0,0.4719131,"[(0, 0.19159822), (1, 0.025014073), (2, 0.4719131), (3, 0.025639487), (4, 0.28583506)]"
6820,6820,1.0,0.81830215,"[(0, 0.15399057), (1, 0.81830215)]"
6821,6821,2.0,0.42678115,"[(0, 0.015906708), (1, 0.32613304), (2, 0.42678115), (3, 0.13075823), (4, 0.10042089)]"
6822,6822,2.0,0.42221022,"[(0, 0.012267963), (1, 0.41852787), (2, 0.42221022), (3, 0.011902534), (4, 0.13509147)]"
6823,6823,1.0,0.72426474,"[(1, 0.72426474), (4, 0.24943134)]"
6824,6824,1.0,0.5040071,"[(0, 0.19986878), (1, 0.5040071), (2, 0.01818205), (3, 0.109070584), (4, 0.1688715)]"
6825,6825,1.0,0.9554023,"[(0, 0.011176838), (1, 0.9554024), (2, 0.011166528), (3, 0.011111158), (4, 0.011143095)]"
6826,6826,0.0,0.5118429,"[(0, 0.5118429), (1, 0.14695856), (2, 0.017355274), (3, 0.30637327), (4, 0.01746996)]"
6827,6827,1.0,0.7142303,"[(0, 0.020142797), (1, 0.7142303), (2, 0.020209968), (3, 0.11999948), (4, 0.12541744)]"
6828,6828,3.0,0.5493073,"[(0, 0.01679874), (1, 0.01681268), (2, 0.40022838), (3, 0.5493073), (4, 0.016852971)]"
6829,6829,2.0,0.5475005,"[(0, 0.050000418), (1, 0.052471656), (2, 0.5475005), (3, 0.050643414), (4, 0.29938403)]"
6830,6830,1.0,0.43176898,"[(0, 0.22211932), (1, 0.43176898), (2, 0.32199523), (3, 0.011939975), (4, 0.012176477)]"
6831,6831,1.0,0.4558635,"[(0, 0.13990515), (1, 0.45586348), (2, 0.020135349), (3, 0.36358407), (4, 0.020511944)]"
6832,6832,1.0,0.46217042,"[(0, 0.025092691), (1, 0.46217042), (2, 0.0250419), (3, 0.21264037), (4, 0.27505457)]"
6833,6833,1.0,0.42693964,"[(0, 0.028784642), (1, 0.42693964), (2, 0.02866627), (3, 0.3236235), (4, 0.19198596)]"
6834,6834,1.0,0.60237706,"[(0, 0.020017767), (1, 0.60237706), (2, 0.020107567), (3, 0.23105676), (4, 0.12644087)]"
6835,6835,1.0,0.62096274,"[(0, 0.09268255), (1, 0.62096274), (2, 0.010563177), (3, 0.065262266), (4, 0.21052924)]"
6836,6836,2.0,0.5422639,"[(0, 0.35506204), (1, 0.035136092), (2, 0.5422639), (3, 0.03358954), (4, 0.033948395)]"
6837,6837,2.0,0.9491217,"[(0, 0.012865889), (1, 0.012614199), (2, 0.9491217), (3, 0.012604328), (4, 0.012793843)]"
6838,6838,0.0,0.49462762,"[(0, 0.49462762), (1, 0.43848372), (2, 0.022255916), (3, 0.022254966), (4, 0.022377733)]"
6839,6839,0.0,0.41936773,"[(0, 0.41936773), (1, 0.16328332), (2, 0.10839775), (3, 0.015384833), (4, 0.2935664)]"
6840,6840,0.0,0.82269573,"[(0, 0.82269573), (1, 0.079414636), (2, 0.07677025), (3, 0.010581078), (4, 0.010538334)]"
6841,6841,2.0,0.6995742,"[(0, 0.25370258), (1, 0.01541102), (2, 0.6995742), (3, 0.01572784), (4, 0.015584378)]"
6842,6842,2.0,0.299988,"[(0, 0.24644813), (1, 0.19551663), (2, 0.299988), (3, 0.17254648), (4, 0.08550077)]"
6843,6843,1.0,0.3868703,"[(0, 0.010579982), (1, 0.3868703), (2, 0.23993869), (3, 0.010635836), (4, 0.35197514)]"
6844,6844,0.0,0.37609145,"[(0, 0.37609145), (1, 0.37195167), (4, 0.2345334)]"
6845,6845,1.0,0.6535529,"[(0, 0.2949591), (1, 0.6535529), (2, 0.017276743), (3, 0.016814014), (4, 0.01739729)]"
6846,6846,1.0,0.53379864,"[(0, 0.010797649), (1, 0.53379864), (2, 0.011554495), (3, 0.2690973), (4, 0.17475188)]"
6847,6847,1.0,0.7983651,"[(0, 0.013375037), (1, 0.7983651), (2, 0.013357253), (3, 0.013372138), (4, 0.16153046)]"
6848,6848,0.0,0.5278743,"[(0, 0.5278743), (1, 0.022976864), (2, 0.022278942), (3, 0.29387757), (4, 0.13299233)]"
6849,6849,0.0,0.47498578,"[(0, 0.47498578), (1, 0.0133971395), (2, 0.013591214), (3, 0.1733081), (4, 0.32471773)]"
6850,6850,3.0,0.40544668,"[(0, 0.32450804), (1, 0.01359806), (2, 0.16539997), (3, 0.40544668), (4, 0.091047265)]"
6851,6851,3.0,0.484755,"[(0, 0.022354472), (1, 0.022286544), (2, 0.3350545), (3, 0.48475498), (4, 0.13554949)]"
6852,6852,3.0,0.64907646,"[(0, 0.27447605), (1, 0.026433736), (2, 0.02500039), (3, 0.64907646), (4, 0.025013344)]"
6853,6853,2.0,0.8399725,"[(0, 0.01671231), (1, 0.10995711), (2, 0.8399725), (3, 0.016678782), (4, 0.016679265)]"
6854,6854,1.0,0.54619676,"[(0, 0.2054884), (1, 0.54619676), (2, 0.091864474), (3, 0.010528457), (4, 0.14592184)]"
6855,6855,1.0,0.5644182,"[(0, 0.23460054), (1, 0.5644182), (2, 0.17835942), (3, 0.011248485), (4, 0.01137333)]"
6856,6856,4.0,0.44546264,"[(0, 0.0884165), (1, 0.3340256), (2, 0.011779041), (3, 0.12031625), (4, 0.44546264)]"
6857,6857,1.0,0.44492814,"[(0, 0.1302901), (1, 0.44492814), (2, 0.01823072), (3, 0.11566408), (4, 0.29088694)]"
6858,6858,2.0,0.52364916,"[(0, 0.0136572085), (1, 0.2582467), (2, 0.52364916), (3, 0.013573811), (4, 0.19087312)]"
6859,6859,1.0,0.50598437,"[(0, 0.16633895), (1, 0.50598437), (2, 0.02001186), (3, 0.020000257), (4, 0.28766453)]"
6860,6860,1.0,0.6847087,"[(1, 0.6847087), (2, 0.05351095), (4, 0.24627091)]"
6861,6861,0.0,0.4285499,"[(0, 0.4285499), (1, 0.051291347), (2, 0.4183071), (3, 0.051376022), (4, 0.050475672)]"
6862,6862,0.0,0.6157549,"[(0, 0.6157549), (1, 0.32906798), (2, 0.018667549), (3, 0.018320996), (4, 0.018188609)]"
6863,6863,1.0,0.53544825,"[(0, 0.050715115), (1, 0.53544825), (2, 0.05010663), (3, 0.31334564), (4, 0.05038435)]"
6864,6864,2.0,0.8574898,"[(0, 0.01586618), (1, 0.095786646), (2, 0.8574898), (3, 0.0154568385), (4, 0.015400498)]"
6865,6865,2.0,0.5100908,"[(0, 0.29654098), (1, 0.016884567), (2, 0.5100908), (3, 0.016811138), (4, 0.1596725)]"
6866,6866,0.0,0.73170054,"[(0, 0.73170054), (1, 0.21354827), (2, 0.018264297), (3, 0.018265981), (4, 0.018220954)]"
6867,6867,0.0,0.52211857,"[(0, 0.52211857), (1, 0.01673192), (2, 0.016951848), (3, 0.1284406), (4, 0.31575704)]"
6868,6868,3.0,0.73125404,"[(0, 0.06733482), (1, 0.06666676), (2, 0.0676096), (3, 0.73125404), (4, 0.067134745)]"
6869,6869,0.0,0.73111236,"[(0, 0.73111236), (1, 0.23340166), (2, 0.011793785), (3, 0.011825047), (4, 0.011867162)]"
6870,6870,0.0,0.59147316,"[(0, 0.59147316), (1, 0.32072705), (2, 0.030227218), (3, 0.028571824), (4, 0.029000778)]"
6871,6871,1.0,0.88527,"[(0, 0.028814455), (1, 0.88527), (2, 0.028608989), (3, 0.028601468), (4, 0.028705128)]"
6872,6872,4.0,0.4784763,"[(0, 0.09657878), (1, 0.16782273), (2, 0.2450909), (3, 0.012031258), (4, 0.4784763)]"
6873,6873,1.0,0.75041944,"[(0, 0.062070753), (1, 0.75041944), (2, 0.16910726)]"
6874,6874,1.0,0.81375605,"[(0, 0.058405876), (1, 0.81375605), (2, 0.056778975), (3, 0.061486226)]"
6875,6875,3.0,0.66277725,"[(0, 0.025362462), (1, 0.025000092), (2, 0.261819), (3, 0.66277725), (4, 0.02504123)]"
6876,6876,2.0,0.71050096,"[(0, 0.022669058), (1, 0.22047259), (2, 0.71050096), (3, 0.023706917), (4, 0.022650508)]"
6877,6877,0.0,0.48905835,"[(0, 0.48905835), (1, 0.28972858), (2, 0.013648452), (3, 0.19389611), (4, 0.013668507)]"
6878,6878,1.0,0.67028725,"[(0, 0.15299699), (1, 0.67028725), (4, 0.15923946)]"
6879,6879,1.0,0.54381025,"[(0, 0.013708242), (1, 0.54381025), (2, 0.34021446), (3, 0.08843477), (4, 0.013832221)]"
6880,6880,2.0,0.6366986,"[(0, 0.028599333), (1, 0.028661417), (2, 0.6366986), (3, 0.2768737), (4, 0.029166948)]"
6881,6881,3.0,0.5200032,"[(0, 0.020000177), (1, 0.41902032), (2, 0.020000134), (3, 0.5200032), (4, 0.020976203)]"
6882,6882,1.0,0.7647554,"[(0, 0.016993044), (1, 0.7647554), (2, 0.016822925), (3, 0.18469691), (4, 0.016731702)]"
6883,6883,1.0,0.6328376,"[(0, 0.10564262), (1, 0.6328376), (2, 0.013550229), (3, 0.23448129), (4, 0.013488299)]"
6884,6884,3.0,0.715721,"[(0, 0.020046491), (1, 0.020278694), (2, 0.020373557), (3, 0.715721), (4, 0.22358024)]"
6885,6885,0.0,0.6331082,"[(0, 0.6331082), (1, 0.33142012), (2, 0.011849444), (3, 0.011855461), (4, 0.011766756)]"
6886,6886,1.0,0.518334,"[(0, 0.013651765), (1, 0.518334), (2, 0.013652707), (3, 0.44096735), (4, 0.013394221)]"
6887,6887,0.0,0.38028824,"[(0, 0.38028824), (1, 0.01830259), (2, 0.27632532), (3, 0.13642566), (4, 0.18865818)]"
6888,6888,0.0,0.72282535,"[(0, 0.72282535), (1, 0.061603233), (3, 0.06270311), (4, 0.1433016)]"
6889,6889,1.0,0.4133896,"[(0, 0.017062658), (1, 0.4133896), (2, 0.19922197), (3, 0.22885449), (4, 0.14147125)]"
6890,6890,1.0,0.5443889,"[(1, 0.5443889), (2, 0.19785993), (4, 0.23826826)]"
6891,6891,3.0,0.36265987,"[(0, 0.2004006), (1, 0.33125684), (3, 0.36265987), (4, 0.096055225)]"
6892,6892,0.0,0.48068312,"[(0, 0.4806831), (1, 0.15108302), (2, 0.31087235), (3, 0.028789762), (4, 0.028571757)]"
6893,6893,2.0,0.7549657,"[(0, 0.0251918), (1, 0.027366746), (2, 0.7549657), (3, 0.025805008), (4, 0.16667074)]"
6894,6894,0.0,0.55144626,"[(0, 0.55144626), (1, 0.018182114), (2, 0.018343573), (3, 0.12133389), (4, 0.29069415)]"
6895,6895,1.0,0.376596,"[(0, 0.31987172), (1, 0.376596), (2, 0.1467982), (3, 0.020546222), (4, 0.13618788)]"
6896,6896,3.0,0.4774072,"[(0, 0.33610177), (1, 0.022391103), (2, 0.14154583), (3, 0.4774072), (4, 0.022554085)]"
6897,6897,1.0,0.30327588,"[(0, 0.13796432), (1, 0.30327588), (2, 0.26199254), (3, 0.018320926), (4, 0.27844632)]"
6898,6898,3.0,0.5720568,"[(0, 0.025375718), (1, 0.127952), (2, 0.025473643), (3, 0.5720568), (4, 0.24914187)]"
6899,6899,1.0,0.72960436,"[(0, 0.028783958), (1, 0.72960436), (2, 0.18355334), (3, 0.029239198), (4, 0.028819146)]"
6900,6900,3.0,0.49272877,"[(0, 0.025068352), (1, 0.02501711), (2, 0.43213713), (3, 0.49272877), (4, 0.025048668)]"
6901,6901,3.0,0.71627074,"[(0, 0.01544584), (1, 0.15583111), (2, 0.015749745), (3, 0.71627074), (4, 0.09670258)]"
6902,6902,3.0,0.46460637,"[(0, 0.12755607), (1, 0.2793383), (2, 0.11128613), (3, 0.46460637), (4, 0.0172131)]"
6903,6903,2.0,0.5344653,"[(0, 0.050223418), (1, 0.050007794), (2, 0.5344653), (3, 0.050270997), (4, 0.31503248)]"
6904,6904,1.0,0.69148755,"[(0, 0.120107606), (1, 0.69148755), (4, 0.17006125)]"
6905,6905,3.0,0.48696324,"[(0, 0.01620394), (1, 0.25260317), (2, 0.016179888), (3, 0.48696327), (4, 0.22804968)]"
6906,6906,4.0,0.9327656,"[(0, 0.016756702), (1, 0.01705438), (2, 0.01669392), (3, 0.01672942), (4, 0.93276554)]"
6907,6907,1.0,0.35496876,"[(0, 0.010564129), (1, 0.35496876), (2, 0.13060728), (3, 0.16326676), (4, 0.34059304)]"
6908,6908,3.0,0.65440905,"[(0, 0.29016358), (1, 0.018533295), (2, 0.018657297), (3, 0.65440905), (4, 0.018236829)]"
6909,6909,4.0,0.49927548,"[(0, 0.04602061), (1, 0.3829712), (3, 0.06425023), (4, 0.49927548)]"
6910,6910,4.0,0.83826685,"[(0, 0.040441748), (1, 0.040074997), (2, 0.040552318), (3, 0.040664088), (4, 0.83826685)]"
6911,6911,3.0,0.53034216,"[(0, 0.022473872), (1, 0.1298663), (2, 0.29473114), (3, 0.53034216), (4, 0.022586524)]"
6912,6912,0.0,0.50095,"[(0, 0.50095), (1, 0.033333786), (2, 0.22580338), (3, 0.20511758), (4, 0.034795277)]"
6913,6913,0.0,0.50208646,"[(0, 0.50208646), (1, 0.018247288), (2, 0.28917074), (3, 0.17199549), (4, 0.018500043)]"
6914,6914,1.0,0.6918454,"[(0, 0.066500634), (1, 0.6918454), (2, 0.010574211), (3, 0.15341966), (4, 0.07766009)]"
6915,6915,2.0,0.4811904,"[(0, 0.17071545), (1, 0.19339187), (2, 0.48119038), (3, 0.07164417), (4, 0.083058126)]"
6916,6916,1.0,0.7801389,"[(0, 0.010075173), (1, 0.7801389), (2, 0.10650778), (3, 0.0100233015), (4, 0.09325479)]"
6917,6917,2.0,0.7413556,"[(0, 0.028666249), (1, 0.17257167), (2, 0.7413556), (3, 0.028576445), (4, 0.02883002)]"
6918,6918,2.0,0.74185973,"[(0, 0.02968146), (1, 0.17116472), (2, 0.74185973), (3, 0.028592005), (4, 0.028702106)]"
6919,6919,0.0,0.7848169,"[(0, 0.7848169), (1, 0.16831346), (2, 0.015389894), (3, 0.015833931), (4, 0.015645789)]"
6920,6920,1.0,0.606546,"[(1, 0.606546), (3, 0.122947305), (4, 0.25191924)]"
6921,6921,1.0,0.29295015,"[(0, 0.2432582), (1, 0.29295015), (2, 0.010622519), (3, 0.16809922), (4, 0.28506985)]"
6922,6922,4.0,0.45750552,"[(0, 0.13073789), (1, 0.38627145), (2, 0.012687098), (3, 0.012798057), (4, 0.45750555)]"
