,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
42,0.0034497036,0.06137043,0.14867902,0.0034493909,0.0034508165,0.0034494055,0.0034508978,0.003449897,0.76580113,0.0034493364
43,0.2467696,0.0026325316,0.0026332047,0.0026329067,0.0026328843,0.0026332522,0.32343453,0.0026334012,0.24792942,0.16606827
44,0.002703848,0.002703657,0.0027041328,0.323567,0.15347037,0.0027043044,0.09563368,0.0027036853,0.19136691,0.2224424
45,0.002942063,0.0029422229,0.26160285,0.0029420017,0.0029420864,0.0029422357,0.002942007,0.0029414995,0.48137063,0.23643236
46,0.005560456,0.0055578426,0.005558677,0.005558019,0.005558333,0.0055570337,0.4266788,0.005557592,0.0055567576,0.5288565
47,0.0017867925,0.0017868886,0.24683246,0.18371627,0.0017879449,0.0017870102,0.25606716,0.11842426,0.04588574,0.14192547
48,0.0027789192,0.0027787583,0.0027785953,0.00277925,0.17108493,0.09120638,0.3301227,0.26711804,0.002779186,0.1265732
49,0.15583248,0.0043496224,0.0043501845,0.004350119,0.04880316,0.0043488196,0.0043497668,0.27769142,0.37506357,0.12086084
50,0.20788093,0.0024396803,0.0024401993,0.36405262,0.0024398298,0.0024404954,0.24470395,0.002440504,0.0024401888,0.16872156
51,0.24703096,0.0055563287,0.18297961,0.0055574398,0.0055569694,0.2885782,0.0055573047,0.071116194,0.09110482,0.09696217
52,0.07234644,0.0032269405,0.0032265987,0.47312734,0.0032263845,0.003226262,0.003226827,0.13959515,0.093604885,0.20519318
53,0.22939597,0.0034496924,0.0034496675,0.42036924,0.0034502335,0.0034489972,0.0034493445,0.20566294,0.12387437,0.003449592
54,0.27689368,0.0062516597,0.006253395,0.0062516984,0.0062527484,0.006253138,0.006255408,0.0062517244,0.006254978,0.6730816
55,0.0055580335,0.0055567278,0.0055564484,0.2789599,0.005558653,0.0055562896,0.6765822,0.0055579445,0.0055561415,0.005557657
56,0.48814273,0.0043489076,0.0043497514,0.14963272,0.004349489,0.0043499656,0.33177793,0.004350177,0.004349038,0.004349282
57,0.0047639697,0.0047626887,0.004763174,0.0047638374,0.087287776,0.25446168,0.23294196,0.004764144,0.08167507,0.31981567
58,0.002943295,0.0029427852,0.0029425237,0.0029424988,0.0029427803,0.002942334,0.5717461,0.067158185,0.0029426296,0.34049684
59,0.0027794156,0.07822457,0.0027784188,0.0027789131,0.039003234,0.0027786565,0.002778628,0.2575896,0.0027789199,0.60850966
60,0.07578416,0.0020415247,0.0020413746,0.0020415979,0.0020418272,0.0020412828,0.7796748,0.1302505,0.0020416686,0.0020412104
61,0.00588457,0.0058837016,0.005883421,0.23668604,0.0058834422,0.005884156,0.33339366,0.0058856416,0.0058842036,0.38873112
62,0.14393964,0.00909205,0.009095145,0.0090940595,0.009094045,0.00909205,0.00909631,0.00909432,0.30453628,0.48786613
63,0.13988385,0.0020839383,0.14420226,0.23257676,0.002083883,0.0020841775,0.0020841034,0.063114546,0.4098023,0.0020841984
64,0.0020006963,0.030623443,0.34521544,0.0020009736,0.002000451,0.18994702,0.2682077,0.0020007426,0.15600276,0.0020007524
65,0.0052649314,0.00526436,0.0052655353,0.27337393,0.005265288,0.005264963,0.6845052,0.0052645854,0.005265533,0.0052655926
66,0.0022236386,0.0022230642,0.14533013,0.0022232,0.0022230141,0.0022228789,0.33566338,0.002223406,0.18017311,0.32549414
67,0.3980351,0.003705204,0.0037052783,0.0037068147,0.003704989,0.003705521,0.20620029,0.0037058843,0.0037055046,0.3698254
68,0.34680638,0.002632167,0.4135258,0.0026323544,0.002631916,0.0026323306,0.002632666,0.04415711,0.0026322992,0.17971703
