,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
64,64,2.0,0.34520897,"[(1, 0.030623445), (2, 0.34520897), (5, 0.18994217), (6, 0.26821846), (8, 0.15600339)]"
65,65,6.0,0.68443745,"[(3, 0.2734417), (6, 0.68443745)]"
66,66,6.0,0.33566165,"[(2, 0.14534126), (6, 0.33566165), (8, 0.1801694), (9, 0.32548848)]"
67,67,0.0,0.39804602,"[(0, 0.39804602), (6, 0.20619537), (9, 0.3698194)]"
68,68,2.0,0.41347072,"[(0, 0.34680566), (2, 0.41347072), (7, 0.04414977), (9, 0.17978008)]"
69,69,9.0,0.40204966,"[(0, 0.14197357), (3, 0.1196275), (4, 0.13324767), (6, 0.18523678), (9, 0.40204966)]"
70,70,6.0,0.38376978,"[(4, 0.31723514), (5, 0.24064185), (6, 0.38376978)]"
71,71,3.0,0.31892246,"[(1, 0.19767152), (3, 0.31892246), (6, 0.1924889), (8, 0.08841573), (9, 0.18582428)]"
72,72,5.0,0.32071748,"[(0, 0.14177269), (3, 0.22897944), (4, 0.10715088), (5, 0.32071748), (7, 0.07606148), (9, 0.10308606)]"
73,73,6.0,0.5918083,"[(1, 0.1774042), (3, 0.13336043), (6, 0.5918083), (8, 0.07132)]"
74,74,3.0,0.3385678,"[(0, 0.24670486), (3, 0.3385678), (7, 0.098104924), (9, 0.28660995)]"
75,75,6.0,0.67254996,"[(3, 0.18942069), (5, 0.118022494), (6, 0.67254996)]"
76,76,3.0,0.44929275,"[(3, 0.44929275), (4, 0.32055733), (7, 0.19123724)]"
77,77,9.0,0.67689633,"[(0, 0.040511344), (1, 0.18664746), (5, 0.0771836), (9, 0.67689633)]"
78,78,1.0,0.47444633,"[(1, 0.47444633), (9, 0.45886928)]"
79,79,6.0,0.43424964,"[(5, 0.12211971), (6, 0.43424964), (7, 0.4176871)]"
80,80,9.0,0.34464797,"[(0, 0.2640308), (6, 0.19542931), (7, 0.17874147), (9, 0.34464797)]"
81,81,6.0,0.45123926,"[(2, 0.078825206), (3, 0.31368613), (6, 0.4512393), (7, 0.13748734)]"
82,82,8.0,0.5725063,"[(4, 0.29463443), (7, 0.10484806), (8, 0.5725063)]"
83,83,0.0,0.29625508,"[(0, 0.29625508), (4, 0.24513556), (6, 0.25283572), (7, 0.15960604)]"
84,84,6.0,0.38627064,"[(6, 0.38627064), (7, 0.2707891), (8, 0.1226699), (9, 0.19416939)]"
85,85,6.0,0.56105953,"[(0, 0.10335154), (1, 0.19708444), (6, 0.56105953), (9, 0.119142994)]"
86,86,9.0,0.9653763,"[(9, 0.96537626)]"
87,87,8.0,0.3522366,"[(0, 0.13617428), (2, 0.14974432), (4, 0.18904038), (5, 0.15890934), (8, 0.3522366)]"
88,88,6.0,0.5707495,"[(6, 0.5707495), (9, 0.3944591)]"
89,89,9.0,0.5967257,"[(0, 0.13893695), (6, 0.24805178), (9, 0.5967257)]"
90,90,3.0,0.31980008,"[(3, 0.31980008), (6, 0.24098025), (7, 0.1584585), (9, 0.2631075)]"
91,91,6.0,0.46644378,"[(0, 0.04190283), (2, 0.327742), (3, 0.14247383), (6, 0.46644378)]"
92,92,3.0,0.333669,"[(3, 0.333669), (4, 0.17735131), (6, 0.17854394), (8, 0.08262759), (9, 0.21428783)]"
93,93,9.0,0.32647675,"[(5, 0.14185022), (6, 0.31087694), (8, 0.17792384), (9, 0.32647675)]"
94,94,6.0,0.5714001,"[(0, 0.11282327), (1, 0.06916852), (4, 0.22660092), (6, 0.5714001)]"
95,95,9.0,0.68515444,"[(3, 0.2814999), (9, 0.68515444)]"
96,96,7.0,0.3491341,"[(2, 0.2622374), (4, 0.05238369), (6, 0.31623957), (7, 0.3491341)]"
97,97,2.0,0.39292392,"[(0, 0.069501735), (2, 0.39292392), (3, 0.138086), (8, 0.3813)]"
98,98,6.0,0.43401867,"[(2, 0.15375891), (4, 0.07523062), (6, 0.43401867), (9, 0.3129791)]"
99,99,9.0,0.5780611,"[(4, 0.11963885), (6, 0.2789592), (9, 0.5780611)]"
100,100,9.0,0.5587994,"[(3, 0.23688503), (5, 0.17738327), (9, 0.5587994)]"
101,101,9.0,0.4140108,"[(2, 0.067326695), (6, 0.37456474), (8, 0.12265682), (9, 0.4140108)]"
102,102,6.0,0.3095739,"[(1, 0.14068358), (6, 0.3095739), (8, 0.283946), (9, 0.24814099)]"
103,103,3.0,0.45412695,"[(3, 0.45412695), (4, 0.16773303), (6, 0.27391654), (9, 0.07812619)]"
104,104,9.0,0.43922478,"[(0, 0.13977303), (8, 0.3905621), (9, 0.43922478)]"
105,105,7.0,0.38027948,"[(0, 0.04615695), (2, 0.31684104), (7, 0.38027948), (9, 0.23528856)]"
106,106,6.0,0.5741665,"[(6, 0.5741665), (8, 0.1682629), (9, 0.23256046)]"
107,107,8.0,0.40711385,"[(3, 0.2735667), (6, 0.1283562), (8, 0.40711385), (9, 0.1648679)]"
108,108,6.0,0.38370132,"[(2, 0.15180159), (5, 0.147835), (6, 0.38370132), (9, 0.2893804)]"
109,109,6.0,0.3741798,"[(3, 0.33779892), (6, 0.3741798), (9, 0.2661364)]"
110,110,6.0,0.7277704,"[(1, 0.115208864), (6, 0.7277704), (7, 0.13108286)]"
111,111,9.0,0.26858452,"[(5, 0.24473725), (6, 0.2438194), (7, 0.21427584), (9, 0.26858452)]"
112,112,3.0,0.52295405,"[(3, 0.52295405), (5, 0.06962583), (7, 0.1852031), (9, 0.20554467)]"
113,113,8.0,0.37441567,"[(0, 0.30867285), (1, 0.15184537), (2, 0.1419801), (8, 0.37441567)]"
114,114,3.0,0.3681318,"[(3, 0.3681318), (7, 0.36279657), (8, 0.23724598)]"
115,115,4.0,0.29050323,"[(2, 0.28867564), (4, 0.29050323), (7, 0.16463321), (8, 0.16581878), (9, 0.07369667)]"
116,116,9.0,0.33578634,"[(0, 0.011112546), (1, 0.011112194), (2, 0.29507762), (3, 0.011116826), (4, 0.011111978), (5, 0.011113682), (6, 0.2913423), (7, 0.011112321), (8, 0.011114187), (9, 0.33578634)]"
