sec,t1 success,t2 success,N t1 wp,N t1 accordance,line A diff,line B diff,N t2 wp,N t2 accordance,N t2 O(1)/U(0),TOTAL A diff,TOTAL B diff,diff line,DIFF total
20191108,0,0,60.76923077,1,3.720496891,4.729678298,56.92307692,1,1,9.595234981,6.808867717,-1.009181408,2.786367265
20191108,0,1,67.69230769,1,0.495805386,3.24853876,50.76923077,1,0,11.1298538,10.87648859,-2.752733374,0.253365211
20191108,0,0,80,1,-1.807340678,2.017952401,54.61538462,1,0,9.887353671,11.05464348,-3.82529308,-1.167289807
20191108,0,0,73.84615385,1,3.046242801,5.033530493,58.46153846,1,0,-11.09153292,-8.816504904,-1.987287691,-2.275028015
20191108,1,0,52.30769231,0,-3.771313301,-4.435774901,53.84615385,1,1,-9.199486231,-10.04426377,0.664461599,0.844777537
20191108,1,0,55.38461538,0,-5.445594202,-4.675393591,52.30769231,1,1,-5.084892092,-5.566923208,-0.770200611,0.482031116
20191109,1,1,55.38461538,1,0.944732268,2.579883288,50.76923077,0,0,-10.13622542,-8.929719101,-1.63515102,-1.206506316
20191109,1,0,75.38461538,1,-2.375810701,1.828520115,56.92307692,1,0,0.780564878,1.883723798,-4.204330816,-1.10315892
20191109,0,1,74.61538462,1,-9.659962132,-7.097729916,51.53846154,0,0,-10.57828625,-9.690414897,-2.562232216,-0.88787135
20191109,0,1,52.30769231,0,2.581779353,2.66390268,55.38461538,1,1,7.586749851,5.64557041,-0.082123326,1.941179441
20191109,0,0,63.07692308,1,4.594933893,6.393937529,60,1,0,-6.465182347,-4.075521298,-1.799003636,-2.389661049
20191110,1,1,60,1,-6.431160901,-5.016195183,55.38461538,1,0,7.771880768,8.463542676,-1.414965718,-0.691661908
20191110,0,0,76.92307692,1,2.208950614,5.599200485,57.69230769,1,0,2.37695181,4.828490304,-3.390249871,-2.451538494
20191110,1,0,56.15384615,1,-5.441605581,-4.41838746,51.53846154,1,0,15.82532947,17.77258084,-1.023218121,-1.947251367
