,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
3795,3795,0.0,0.51978564,"[(0, 0.51978564), (1, 0.0283881), (2, 0.42392907), (3, 0.027897183)]"
3796,3796,2.0,0.7063692,"[(0, 0.20830937), (1, 0.0423324), (2, 0.7063692), (3, 0.04298897)]"
3797,3797,1.0,0.5511691,"[(0, 0.028558906), (1, 0.5511691), (2, 0.2318125), (3, 0.18845952)]"
3798,3798,1.0,0.7786752,"[(0, 0.034185536), (1, 0.7786752), (2, 0.031252507), (3, 0.15588677)]"
3799,3799,1.0,0.4659228,"[(0, 0.023248868), (1, 0.4659228), (2, 0.37925738), (3, 0.13157098)]"
3800,3800,1.0,0.9366328,"[(0, 0.02378398), (1, 0.9366329), (2, 0.02006957), (3, 0.019513536)]"
3801,3801,1.0,0.56352794,"[(0, 0.028310006), (1, 0.56352794), (2, 0.24055366), (3, 0.16760838)]"
3802,3802,0.0,0.49310347,"[(0, 0.49310344), (1, 0.16247307), (2, 0.03460746), (3, 0.30981603)]"
3803,3803,1.0,0.84304243,"[(0, 0.023344833), (1, 0.84304243), (2, 0.022864252), (3, 0.11074844)]"
3804,3804,1.0,0.90494424,"[(0, 0.031325024), (1, 0.9049442), (2, 0.032161288), (3, 0.03156949)]"
3805,3805,0.0,0.888971,"[(0, 0.888971), (1, 0.037214167), (2, 0.03775629), (3, 0.03605854)]"
3806,3806,1.0,0.7984633,"[(0, 0.01934156), (1, 0.7984633), (2, 0.019325005), (3, 0.16287015)]"
3807,3807,1.0,0.5269074,"[(0, 0.042334218), (1, 0.5269074), (2, 0.0432763), (3, 0.38748208)]"
3808,3808,0.0,0.58375555,"[(0, 0.58375555), (1, 0.34296066), (2, 0.036523316), (3, 0.036760498)]"
3809,3809,1.0,0.8478748,"[(0, 0.050649047), (1, 0.8478748), (2, 0.05147449), (3, 0.050001603)]"
3810,3810,1.0,0.7730093,"[(0, 0.035777904), (1, 0.7730093), (2, 0.04556612), (3, 0.14564672)]"
3811,3811,1.0,0.9360379,"[(0, 0.021317555), (1, 0.93603784), (2, 0.021124946), (3, 0.021519646)]"
