,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
4872,4872,2.0,0.59526235,"[(0, 0.023809547), (1, 0.023844326), (2, 0.59526235), (3, 0.30930012), (4, 0.023974126), (5, 0.023809543)]"
4873,4873,1.0,0.49576893,"[(0, 0.02083336), (1, 0.49576893), (2, 0.02088496), (3, 0.021142038), (4, 0.02137703), (5, 0.4199937)]"
4874,4874,4.0,0.8321818,"[(0, 0.03398437), (1, 0.033508267), (2, 0.033471905), (3, 0.03340271), (4, 0.8321818), (5, 0.03345091)]"
4875,4875,3.0,0.5783254,"[(0, 0.023809558), (1, 0.024047976), (2, 0.023809563), (3, 0.5783254), (4, 0.32608077), (5, 0.02392674)]"
4876,4876,3.0,0.6199754,"[(0, 0.020837678), (1, 0.2965732), (2, 0.020844242), (3, 0.6199754), (4, 0.020840982), (5, 0.020928517)]"
4877,4877,1.0,0.64468735,"[(0, 0.14646205), (1, 0.64468735), (2, 0.018570013), (3, 0.15318833), (4, 0.018527739), (5, 0.018564502)]"
4878,4878,3.0,0.5545522,"[(0, 0.03351459), (1, 0.033625793), (2, 0.31117743), (3, 0.5545522), (4, 0.03342522), (5, 0.033704825)]"
4879,4879,1.0,0.44201973,"[(0, 0.055555623), (1, 0.44201973), (2, 0.05555563), (3, 0.33561125), (4, 0.055702087), (5, 0.055555616)]"
4880,4880,1.0,0.47350222,"[(0, 0.023934903), (1, 0.47350222), (2, 0.023843126), (3, 0.024320569), (4, 0.4303908), (5, 0.024008336)]"
4881,4881,5.0,0.50218844,"[(0, 0.015178103), (1, 0.01515995), (2, 0.015193337), (3, 0.2859775), (4, 0.16630264), (5, 0.50218844)]"
4882,4882,3.0,0.46866605,"[(0, 0.24045746), (1, 0.018581336), (2, 0.018565735), (3, 0.46866608), (4, 0.018790493), (5, 0.23493892)]"
4883,4883,1.0,0.7878606,"[(0, 0.16447394), (1, 0.7878606), (2, 0.011911728), (3, 0.011922541), (4, 0.011904802), (5, 0.011926401)]"
4884,4884,0.0,0.16666667,"[(0, 0.16666667), (1, 0.16666667), (2, 0.16666667), (3, 0.16666667), (4, 0.16666667), (5, 0.16666667)]"
4885,4885,4.0,0.5414667,"[(0, 0.041666716), (1, 0.04189663), (2, 0.04166672), (3, 0.041666728), (4, 0.5414667), (5, 0.2916365)]"
4886,4886,3.0,0.63354784,"[(0, 0.020835022), (1, 0.020871552), (2, 0.02083337), (3, 0.63354784), (4, 0.020967238), (5, 0.282945)]"
4887,4887,5.0,0.54167056,"[(0, 0.04199612), (1, 0.041666675), (2, 0.04166668), (3, 0.04166668), (4, 0.29133326), (5, 0.54167056)]"
4888,4888,1.0,0.6578033,"[(0, 0.027783455), (1, 0.6578033), (2, 0.027900835), (3, 0.027812034), (4, 0.027876457), (5, 0.23082395)]"
4889,4889,5.0,0.56984067,"[(0, 0.01287767), (1, 0.013041432), (2, 0.21412098), (3, 0.17727433), (4, 0.012844903), (5, 0.56984067)]"
4890,4890,1.0,0.3333746,"[(0, 0.027817057), (1, 0.3333746), (2, 0.25344557), (3, 0.028088078), (4, 0.32907712), (5, 0.028197588)]"
4891,4891,3.0,0.43289632,"[(0, 0.033333372), (1, 0.2337933), (2, 0.23331025), (3, 0.4328963), (4, 0.033333387), (5, 0.03333337)]"
4892,4892,5.0,0.8592427,"[(0, 0.02799655), (1, 0.028174365), (2, 0.028627357), (3, 0.028145084), (4, 0.027813865), (5, 0.85924274)]"
4893,4893,2.0,0.6197109,"[(0, 0.033503555), (1, 0.24677765), (2, 0.6197109), (3, 0.033333384), (4, 0.03333339), (5, 0.033341072)]"
4894,4894,1.0,0.7205213,"[(0, 0.056658477), (1, 0.7205213), (2, 0.055574957), (3, 0.055626884), (4, 0.056062836), (5, 0.055555608)]"
4895,4895,4.0,0.36664626,"[(0, 0.013888899), (1, 0.013903111), (2, 0.14320187), (3, 0.17208382), (4, 0.36664626), (5, 0.29027602)]"
4896,4896,5.0,0.47655696,"[(0, 0.033520438), (1, 0.38960198), (2, 0.033333354), (3, 0.0336539), (4, 0.03333336), (5, 0.47655696)]"
4897,4897,1.0,0.41498914,"[(0, 0.2516875), (1, 0.41498914), (2, 0.23332308), (3, 0.033333417), (4, 0.033333424), (5, 0.033333395)]"
4898,4898,5.0,0.35557312,"[(0, 0.023819083), (1, 0.023899775), (2, 0.024035972), (3, 0.24945617), (4, 0.32321593), (5, 0.35557312)]"
4899,4899,0.0,0.5755523,"[(0, 0.5755523), (1, 0.17665209), (2, 0.023809547), (3, 0.17624606), (4, 0.02392153), (5, 0.023818482)]"
4900,4900,5.0,0.46171767,"[(0, 0.027777798), (1, 0.42660466), (2, 0.02787491), (3, 0.028177299), (4, 0.027847692), (5, 0.46171764)]"
4901,4901,2.0,0.4665108,"[(0, 0.02095615), (1, 0.020845734), (2, 0.46651077), (3, 0.021318898), (4, 0.44947997), (5, 0.020888424)]"
4902,4902,2.0,0.46649447,"[(0, 0.033376597), (1, 0.033368908), (2, 0.46649447), (3, 0.033377443), (4, 0.39922318), (5, 0.0341594)]"
4903,4903,1.0,0.73338014,"[(0, 0.023929952), (1, 0.73338014), (2, 0.17074026), (3, 0.024136208), (4, 0.023866935), (5, 0.023946485)]"
4904,4904,1.0,0.5830272,"[(0, 0.08333338), (1, 0.5830272), (2, 0.083333395), (3, 0.08333339), (4, 0.083333395), (5, 0.08363925)]"
4905,4905,3.0,0.4212117,"[(0, 0.042085994), (1, 0.41123667), (2, 0.041873302), (3, 0.4212117), (4, 0.041925672), (5, 0.04166669)]"
