date,X01-a,X01-b,X02-a,X02-b,Z01-a,Z01-b,Z02-a,Z02-b,Z03-a,Z03-b,Z04-a,Z04-b,Z05-a,Z05-b,Y01-a,Y01-b,Y02-a,Y02-b,Y03-a,Y03-b,T01-a,T01-b
2021-12-27,15.49145,19.3376,0,26.31578,2.21827,3.10559,2.54335,1.15606,21.9205,22.42424,7.92079,11.24053,4.68803,7.41123,8.16487,23.41822,7.00808,7.41239,8.00865,81.38528,6.73611,3.15972
2021-12-28,19.23076,26.60256,26.31578,0,0.97604,3.54924,2.65895,2.31213,22.70653,23.31958,7.33838,9.14385,4.34332,7.27335,10.52769,25.07219,3.77358,4.44743,11.90476,100,7.01388,3.68055
2021-12-29,22.97008,30.66239,0,42.10526,3.9929,0.97604,4.50867,3.4682,21.94806,24.10561,7.74606,10.36691,4.58462,7.37676,12.89052,22.55185,12.26415,8.7601,8.2251,43.72294,6.52777,2.8125
2021-12-30,28.73931,27.88461,0,0,1.59716,2.04081,2.19653,2.19653,20.62312,25.00285,8.38672,9.7845,4.9638,6.48052,8.29614,22.47309,5.39083,4.44743,4.97835,18.39826,5.3125,2.91666
2021-12-31,12.28632,32.26495,0,36.8421,1.41969,1.68589,1.04046,0.80924,17.03702,59.72037,5.59114,6.29004,3.3092,6.06687,5.32948,22.49934,2.83018,1.88679,2.1645,6.70995,3.71527,1.94444
2022-01-01,9.08119,14.10256,0,0,0.44365,1.24223,0.69364,0.69364,11.29814,7.84131,3.61094,7.92079,2.13719,5.37745,4.38435,18.37752,0.94339,0.94339,0,7.14285,1.5625,0.625
2022-01-02,7.79914,14.31623,0,0,0.53238,0.70984,0,0.57803,11.37797,9.02463,4.42632,8.67792,2.61978,6.99758,3.75426,20.00525,1.61725,1.48247,1.08225,9.9567,0.625,1.14583
2022-01-03,17.30769,20.51282,0,26.31578,2.04081,3.7267,1.50289,1.50289,23.30817,100,11.4735,11.29877,6.79076,9.89314,8.58493,23.15568,3.77358,3.09973,7.57575,6.9264,5.69444,3.57638
2022-01-04,16.88034,25.64102,52.63157,31.57894,3.81543,2.92812,7.39884,2.77456,26.86195,25.37068,15.20093,8.09551,8.99689,6.68734,9.47755,25.59726,3.2345,4.31266,11.03896,6.4935,6.07638,3.15972
2022-01-05,19.3376,30.55555,36.8421,36.8421,42.50221,2.04081,68.90173,2.54335,30.58681,34.50842,16.24927,15.84158,9.61737,14.58117,13.54686,26.22735,7.54716,8.08625,17.31601,11.25541,6.11111,4.27083
2022-01-06,23.18376,27.13675,52.63157,63.15789,52.70629,2.12954,76.06936,2.54335,37.05946,37.17351,22.36458,29.29528,13.23681,17.99379,21.42294,27.85508,15.22911,6.73854,33.54978,44.58874,6.25,3.99305
2022-01-07,18.37606,20.40598,36.8421,36.8421,10.29281,2.04081,10.17341,2.89017,31.57814,26.54735,18.63715,13.97786,11.03067,8.34195,11.07902,23.6545,7.14285,3.90835,6.9264,14.50216,4.47916,2.98611
2022-01-08,8.33333,16.34615,0,0,1.33096,0,2.54335,1.04046,15.0344,10.92175,8.03727,11.29877,4.75698,6.17028,6.14334,18.40378,3.90835,2.69541,3.0303,1.94805,1.18055,0.79861
2022-01-09,9.93589,22.54273,0,0,0.88731,2.39574,1.27167,0.80924,14.00695,10.82195,5.82411,16.7152,3.44708,7.27335,5.67077,19.58519,3.90835,1.3477,7.14285,4.7619,1.80555,1.49305
