date,X01-a,X01-b,X02-a,X02-b,Z01-a,Z01-b,Z02-a,Z02-b,Z03-a,Z03-b,Z04-a,Z04-b,Z05-a,Z05-b,Y01-a,Y01-b,Y02-a,Y02-b,Y03-a,Y03-b,T01-a,T01-b
2017-02-28,0.09741,0.10662,12.85714,28.57142,1.42932,0,0.51858,0.25929,8.2667,3.61948,6.54853,0.95017,5.80072,5.27752,0.06196,0.15319,0.4164,0.12338,0,0,2.91666,2.04861
2017-03-01,0.06845,0.05792,0,0,0.95288,0,0.25929,0,5.57757,1.82954,5.82948,0.51361,5.16378,3.48043,0.03073,0.10782,0.10795,0.07711,0,0,1.14583,0.72916
2017-03-02,0.11716,0.09873,17.14285,12.85714,1.5352,0,0.56179,0.43215,8.79355,3.92851,8.19209,1.20698,7.25659,8.12101,0.06781,0.16441,0.43183,0.07711,0.15392,0.28219,2.77777,2.56944
2017-03-03,0.13032,0.11452,11.42857,8.57142,2.85865,0,2.72255,0.25929,8.36474,4.71084,8.47457,2.33692,7.50682,10.07734,0.08977,0.17222,0.78655,0.12338,0.69266,0.71831,2.11805,1.80555
2017-03-04,0.04739,0.04475,0,0,1.27051,0,0.3025,0,4.54529,1.4559,5.39291,2.1058,4.77707,7.1656,0.02536,0.13026,0.2776,0.07711,0.20523,0.28219,1.00694,0.625
2017-03-05,0.08819,0.05134,0,0,1.27051,0.31762,0.3025,0,4.21677,1.39195,4.00616,2.00308,3.54868,7.64331,0.03073,0.15075,0.16964,0.09253,0,0,0.625,0.3125
2017-03-06,0.1369,0.12242,17.14285,8.57142,1.37638,0.26469,0.3025,0.43215,8.74584,4.13432,6.9851,2.31124,6.18744,7.25659,0.06,0.23662,0.40098,0.10795,0,0.38481,2.53472,1.94444
2017-03-07,0.13032,0.15928,14.28571,22.85714,0.847,0.47644,0.3025,1.03716,7.65967,3.9863,5.59835,1.41242,4.95905,6.23293,0.05317,0.25077,0.38556,0.12338,0,0.25654,3.22916,1.94444
2017-03-08,0.16455,0.1369,14.28571,17.14285,1.37638,0.4235,0,0.95073,7.49898,3.82107,4.69953,1.0529,4.16287,5.32302,0.11953,0.30687,1.06415,0,0,0.12827,3.47222,1.97916
2017-03-09,0.15138,0.14875,27.14285,18.57142,1.16463,0,0.64822,0.77787,7.48145,3.8347,5.21314,1.23266,4.61783,4.23111,0.05513,0.22149,0.43183,0,0.12827,0.41046,2.91666,1.77083
2017-03-10,0.1527,0.12505,7.14285,17.14285,1.79989,1.21757,0.64822,1.90146,7.97584,7.81029,4.36569,1.72059,3.86715,3.45768,0.0522,0.19076,0.43183,0.38556,0.17957,0.9492,2.43055,2.29166
2017-03-11,0.07371,0.07766,0,10,1.00582,0,0,1.21002,4.14698,1.5653,9.16795,1.4381,8.12101,3.2302,0.02829,0.13026,0.16964,0,0,0,1.38888,0.83333
2017-03-12,0.05792,0.08161,0,0,0.95288,0,0,0.3025,3.83989,1.42896,8.52593,1.64355,7.55232,4.39035,0.02195,0.11611,0.16964,0.07711,0,0.23088,0.83333,0.65972
2017-03-13,0.16718,0.15533,32.85714,34.28571,1.69401,0.89994,0.51858,1.12359,12.45329,4.36448,8.98818,2.46533,7.96178,13.58052,0.08879,0.22491,0.78655,0.2776,0,0.15392,3.81944,2.8125
2017-03-14,0.15138,0.15402,7.14285,18.57142,0.95288,1.11169,0,0.69144,8.08978,4.43135,6.24036,2.85053,5.52775,14.28571,0.10196,0.23759,0.95619,0.26218,0.12827,0.35915,3.47222,2.32638
2017-03-15,0.1527,0.17903,28.57142,20,1.74695,0.26469,0.60501,0.69144,8.96495,4.432,14.84334,2.49101,13.14831,11.23748,0.0883,0.20637,0.52436,0.21591,0.48742,0.3335,3.61111,2.84722
2017-03-16,0.16455,0.14875,21.42857,27.14285,1.16463,0.847,0.3025,1.94468,13.77318,4.8949,37.28813,3.44119,33.03002,24.49954,0.13953,0.23906,1.04873,0.50894,0,0.35915,3.29861,2.98611
2017-03-17,0.14348,0.09083,25.71428,7.14285,0.89994,0.26469,0,1.29645,9.70573,4.40862,20.54442,3.31278,18.19836,17.65241,0.10733,0.1888,0.67859,0.40098,0,0.6157,2.98611,2.60416
2017-03-18,0.07766,0.06845,0,7.14285,1.21757,0,0,0.47536,4.2197,1.54842,7.19054,1.51515,6.36942,7.87079,0.0361,0.15514,0.30845,0,0,0,0.9375,0.48611
2017-03-19,0.08819,0.06187,7.14285,18.57142,1.21757,0,0.21607,0.3025,3.86684,1.37215,4.69953,1.9774,4.16287,8.16651,0.03561,0.14392,0.16964,0.07711,0,0,0.55555,0.9375
2017-03-20,0.15796,0.13427,27.14285,18.57142,1.27051,0.52938,0.90751,0.90751,11.52261,4.45829,17.82229,3.26142,15.78707,18.97179,0.09416,0.2615,0.4164,0.1388,0.28219,0.71831,3.15972,4.09722
2017-03-21,0.1606,0.18429,22.85714,30,1.42932,1.00582,1.25324,1.68539,12.71298,4.86504,27.0416,4.00616,23.95359,25.90991,0.14441,0.28345,1.14127,0.46267,0.20523,0.38481,4.02777,3.47222
2017-03-22,0.16455,0.19219,21.42857,34.28571,1.32345,0.79407,0.90751,1.16681,9.83915,4.47647,11.89008,3.87776,10.5323,13.30755,0.10343,0.24442,0.97162,0.21591,0.28219,0.20523,3.36805,2.08333
2017-03-23,0.19087,0.17245,25.71428,25.71428,1.69401,0.95288,0.73465,0.90751,8.52899,4.39207,8.98818,4.00616,7.96178,12.55686,0.0761,0.21954,0.46267,0.10795,0.17957,0.64135,3.22916,2.22222
2017-03-24,0.13427,0.129,10,15.71428,1.16463,0,0.82108,0.60501,7.29934,4.5547,6.26605,5.44427,5.5505,10.71428,0.07025,0.18441,0.38556,0,0,0.17957,4.02777,2.22222
2017-03-25,0.08819,0.08556,14.28571,7.14285,1.11169,0,0,0.34572,4.01162,1.76169,13.07139,4.0832,11.5787,5.91446,0.02585,0.12636,0.18507,0,0,0,1.00694,0.9375
2017-03-26,0.08688,0.06318,0,0,1.00582,0,0,0.25929,3.90222,1.59549,3.85208,4.64817,3.41219,6.41492,0.03659,0.1449,0.26218,0,0,0,0.90277,1.18055
2017-03-27,0.12637,0.14348,10,51.42857,1.05876,0.52938,0.51858,0.77787,18.51844,4.24664,13.09707,5.03338,11.60145,16.74249,0.07952,0.21417,0.30845,0.10795,0,0,3.85416,2.60416
2017-03-28,0.14875,0.1448,34.28571,28.57142,1.05876,0.26469,0.82108,0.73465,9.78786,4.18853,10.78582,3.23574,9.55414,10.57779,0.07269,0.22247,0.32387,0.1388,0.15392,0.43612,3.78472,2.22222
2017-03-29,0.14085,0.13427,15.71428,25.71428,1.16463,0,0.21607,0.8643,8.36506,4.23398,7.06214,1.72059,6.25568,8.66696,0.06196,0.20295,0.33929,0.20049,0.12827,0,3.57638,2.29166
2017-03-30,0.14217,0.1685,7.14285,14.28571,1.00582,0.58231,0.47536,1.33967,7.66811,4.16906,5.90652,1.51515,5.23202,8.14376,0.06196,0.18002,0.35471,0.10795,0,0.38481,3.64583,3.33333
2017-03-31,0.11057,0.08161,22.85714,14.28571,0.63525,0,0.21607,0.69144,7.18215,3.7727,4.18592,1.90035,3.70791,7.14285,0.04683,0.22686,0.23133,0.07711,0,0.38481,2.88194,2.22222
2017-04-01,0.04475,0.0487,0,0,1.21757,0,0,0.34572,3.76653,1.55426,2.64509,1.3097,2.34303,5.11828,0.01805,0.11123,0,0,0,0,0.55555,0.55555
2017-04-02,0.0566,0.08161,0,11.42857,0.47644,0,0,0.21607,3.67661,1.40754,2.28556,1.15562,2.02456,4.73157,0.01951,0.13319,0,0,0.12827,0.17957,0.72916,1.11111
2017-04-03,0.10004,0.15796,27.14285,30,1.05876,0,0.21607,1.03716,8.03233,4.1499,6.9851,2.51669,6.18744,10.37306,0.05659,0.2093,0.32387,0.15422,0,1.53925,3.19444,2.46527
2017-04-04,0.14612,0.14612,18.57142,21.42857,2.32927,0.63525,2.2904,0.77787,7.59279,4.53068,5.82948,1.92604,5.16378,9.48589,0.05464,0.18393,0.20049,0.24676,0,0.87224,3.05555,2.22222
2017-04-05,0.15533,0.18034,21.42857,18.57142,1.27051,0.58231,0.69144,1.21002,7.60675,4.28137,5.82948,1.95172,5.16378,8.48498,0.05366,0.21808,0.29302,0,0,0.59004,3.47222,2.22222
2017-04-06,0.15402,0.20009,11.42857,12.85714,1.27051,0.31762,1.12359,1.59896,7.8421,4.2145,6.189,1.72059,5.48225,8.96269,0.07367,0.22052,0.23133,0.18507,0.3335,0.38481,3.40277,2.53472
2017-04-07,0.13953,0.14348,15.71428,10,1.32345,0.63525,0.25929,1.16681,7.30486,3.92462,5.31587,1.61787,4.70882,7.27934,0.06293,0.22247,0.10795,0.12338,0,0.15392,3.64583,2.04861
2017-04-08,0.06713,0.08161,0,0,0.74113,0,0.21607,0.51858,3.59026,1.38157,2.9019,0.84745,2.57051,4.29936,0.02732,0.13026,0.09253,0.10795,0,0.17957,0.45138,0.48611
2017-04-09,0.07635,0.09214,7.14285,11.42857,0.58231,0,0,0.64822,3.67369,1.50557,2.69645,1.36106,2.38853,4.95905,0.0361,0.14734,0.23133,0,0,0,0.45138,0.65972
2017-04-10,0.27644,0.20536,34.28571,12.85714,3.22922,0.52938,5.27225,0.73465,9.0948,6.88513,8.01232,2.72213,7.09736,15.5141,0.17563,0.23808,0.53979,0.26218,0.97485,0.71831,3.33333,2.15277
2017-04-11,0.1606,0.18824,22.85714,32.85714,1.74695,0.52938,2.54969,0.8643,9.59439,5.36917,7.13918,2.61941,6.32393,12.26114,0.10879,0.23906,0.77112,0.2776,0.41046,0.35915,2.46527,1.97916
2017-04-12,0.19482,0.2172,25.71428,31.42857,1.74695,0,1.03716,0.82108,8.8825,4.43589,5.54699,2.15716,4.91355,7.30209,0.07074,0.25662,0.47809,0,0,0.12827,3.29861,1.70138
2017-04-13,0.20009,0.40018,54.28571,38.57142,2.01164,0,0.21607,0.99394,9.21264,4.1762,6.62557,1.74627,5.86897,6.80163,0.05952,0.28638,0.2776,0,0,0.15392,2.95138,2.46527
2017-04-14,0.16718,0.15138,24.28571,11.42857,0.79407,0.31762,1.4261,0.90751,8.26508,4.15672,4.72521,1.61787,4.18562,6.23293,0.03951,0.2254,0.12338,0,0,0.15392,2.32638,1.63194
2017-04-15,0.09083,0.10268,7.14285,18.57142,1.11169,0,0,0,4.11095,1.53803,2.51669,1.1813,2.22929,3.91264,0.02244,0.18685,0,0.10795,0,0,0.83333,0.72916
2017-04-16,0.07766,0.09609,11.42857,21.42857,1.37638,0,0,0.3025,3.76101,1.42377,2.05444,2.08012,1.81983,5.16378,0.01951,0.1649,0,0,0,0,1.11111,0.55555
2017-04-17,0.13953,0.18298,11.42857,32.85714,1.5352,0.31762,0.34572,1.03716,7.97065,4.14438,4.34001,1.59219,3.8444,7.71155,0.05122,0.2171,0,0.07711,0.28219,0.43612,4.16666,2.43055
2017-04-18,0.16586,0.25801,8.57142,31.42857,0.79407,0.26469,0.21607,0.95073,7.78367,4.21353,4.49409,1.61787,3.98089,6.46041,0.04586,0.2415,0,0.18507,0,0.64135,3.02083,2.91666
2017-04-19,0.12374,0.18034,24.28571,34.28571,1.27051,0.37056,0.69144,0.25929,7.34544,4.08693,4.05752,0.92449,3.59417,6.27843,0.04049,0.22588,0.18507,0.07711,0,0.12827,3.78472,2.5
2017-04-20,0.13953,0.15928,34.28571,31.42857,0.847,0.79407,0.73465,0.64822,7.09288,3.99052,3.21006,1.3097,2.84349,4.95905,0.02878,0.24735,0.16964,0,0.15392,0.3335,3.47222,1.875
2017-04-21,0.16586,0.13427,22.85714,25.71428,0.58231,0,0.56179,0.69144,6.77086,3.66265,9.73292,1.4381,8.62147,6.89262,0.04634,0.21369,0.29302,0.09253,0.15392,0,3.61111,2.43055
2017-04-22,0.14875,0.08425,0,0,0.58231,0.26469,0.34572,0.25929,3.50391,1.353,1.3097,1.23266,1.16014,3.66242,0.01902,0.15026,0,0,0.12827,0,0.76388,0.83333
2017-04-23,0.07766,0.0724,7.14285,7.14285,0.58231,0,0,0,3.42081,1.37118,1.66923,1.0529,1.47861,4.16287,0.02097,0.15465,0,0,0,0,0.69444,0.65972
2017-04-24,0.18561,0.16455,20,20,0.89994,0,0.95073,0.60501,7.73335,3.89443,10.50333,1.84899,9.30391,9.14467,0.04,0.20393,0.1388,0.18507,0,0.38481,3.40277,2.1875
2017-04-25,0.18166,0.48312,22.85714,32.85714,0.847,0.26469,0,0.64822,8.02486,4.0879,7.52439,1.64355,6.66515,14.30846,0.07708,0.24589,0.46267,0.44725,0,0.15392,3.81944,1.94444
2017-04-26,0.16323,0.28039,12.85714,12.85714,0.68819,0.68819,0.38893,1.46931,8.19431,4.39434,7.1135,3.10734,6.30118,18.63057,0.12197,0.23467,0.74028,0.38556,0,0.17957,3.92361,2.67361
2017-04-27,0.13164,0.17508,14.28571,20,0.847,0.63525,1.03716,0.82108,7.37985,4.51347,6.08628,2.61941,5.39126,11.98817,0.07513,0.20832,0.46267,0.21591,0,0.20523,4.13194,1.73611
2017-04-28,0.08951,0.12242,0,18.57142,0.74113,0.31762,0.60501,0.38893,7.13346,3.78081,4.93066,1.64355,4.3676,10.07734,0.06098,0.19417,0.52436,0.18507,0.12827,0.15392,2.91666,1.77083
2017-04-29,0.07108,0.10136,0,0,1.16463,0.4235,0,0.25929,3.68245,1.35982,1.64355,0.92449,1.45586,4.02638,0.02976,0.09903,0.15422,0,0,0,1.00694,0.69444
2017-04-30,0.06187,0.06318,0,0,0.52938,0,0,0,3.327,1.32086,2.1058,1.33538,1.86533,3.98089,0.02244,0.30834,0,0.07711,0,0,0.34722,0.20833
2017-05-01,0.05002,0.05265,7.14285,10,1.05876,0,0,0.47536,4.89782,4.30994,2.79917,1.61787,2.47952,5.75523,0.02536,0.13172,0,0,0,0,1.04166,0.90277
2017-05-02,0.10004,0.11979,14.28571,0,1.32345,0.847,0.64822,0.56179,7.11626,3.87073,3.56959,2.61941,3.16196,13.8535,0.08147,0.22393,0.37014,0.15422,0,0.15392,3.61111,2.70833
2017-05-03,0.06582,0.05397,0,0,0.79407,0,0.25929,0,3.9441,1.57601,1.61787,1.38674,1.43312,8.64422,0.0278,0.12733,0.10795,0.07711,0,0,1.07638,0.9375
2017-05-04,0.13032,0.14085,0,0,1.11169,0.52938,0.69144,1.12359,6.52156,4.03077,2.82485,2.33692,2.50227,19.63148,0.1044,0.19905,0.94077,0.69401,0.12827,0.43612,3.57638,2.15277
2017-05-05,0.0487,0.03422,0,0,0.63525,0.26469,0,0.34572,3.7688,1.52797,1.82331,1.41242,1.6151,7.1201,0.02536,0.12245,0.30845,0.10795,0,0.12827,0.69444,0.24305
2017-05-06,0.03422,0.04475,0,0,0.74113,0,0,0.3025,3.51398,1.27055,1.28402,1.66923,1.13739,6.43767,0.03903,0.10635,0.20049,0,0,0.23088,0.86805,0.59027
2017-05-07,0.06845,0.05002,7.14285,0,0.68819,0,0,0.38893,3.71459,1.42085,1.3097,2.00308,1.16014,7.1656,0.02146,0.1327,0.24676,0.1388,0,0.23088,0.52083,0.59027
